Product Name,Model,Category,Image(s),Specs,Price (INR),Discount Info,Slide No,Brand,Stock Status,Keywords,Usage Description,cloudinary_url
Brad Nails (F series),F-series,Nails,29151246-8615-4459-B478-1170B1B2FD13.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/Mn2TRj8Yo5BVhxl0lqNuNQ/N0qlYFwNd8JdBfj_9vuvHax1lB8arXvWG_OX1_RwRvm4VW7I0rU9z1_lHurVjrT54A-zs6ySeiMi-svH5Ej6KXWpqhs28TqMgCaMsL_GVW6_9lfHw4iTJUigYyg-TPEfJ3G5aw5n3s-sMgIR8n7z604N5biD9O71G3uNMnZ1RcldHV34QKqEjR2-7GJ_sz7m/NPfSLgAD1A-qFglEFyvOhZzyLhSWPjqrOipEGML-KhE),"18-gauge brad nails, 10–50 mm sizes available.",INR 0.00,"Less than 1 carton → No discount, Customer: ≥ 1 carton → 5% discount, Dealer: ≥ 1 carton → 10% discount",12,Spark Pneumatics,,"F-series brad nails, 18-gauge","Consumable brad nails for F-series nailers, used in furniture and trim work applications.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342141/wrysllg8mvaiwui3clfp.jpg
Air Brad Nailer F32,F32,Nailer,12926845-F398-464A-9486-B978EE88EA5A.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/8DqiJ6ttO_nDczVNCL0LrA/0e_7cUeyIO1bi6RT9iM_Z64-n6UyTysHml_28zcBKTIIMXB7EXf0nRjT0TSG6vYLSM-5gxoez4fvsWn_DVq9FVHzIy0jkTj3oiQwORE3LZgWPhio1W-qBBz_JaMEL7ya74AtZWq7ivaOqixgH_ASbnenFvLu8pm0EcMR6h_BtiX_fu-hNOZe6w0jsK-VkNXO/Wf1HMLWYjPSZIWZOamNOl9M8FXEwthD1_l2sBXgYAsM),"18-gauge brad nailer, nail capacity 10–32 mm, precision nailing for furniture/carpentry.",INR 2800.00,,13,Spark Pneumatics,,"Brad nailer, precision carpentry",Ideal for furniture making and carpentry where precision nailing is required on thin wood sections.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342142/jzmbdsk0oj5dz8k0gdyy.jpg
Air Stapler N851,N851 Spark,Stapler,F1D0B406-E460-4F73-B7F9-38D523CD158D.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/Vxoyio8YNwrv2T-zjlaohg/rdd9-opqAgbprnHzbnRZyl5vdjjNZUG68SxOCftk5QM2FyeIdPwNRN4G5jTaVrBKQzE4lpfrsjYKg3-ptwO6d7Jt7MBpc-GKwOYhP8pw-3dJsZxWp-1T-mGBSPTiZ_2yIdXHI8f64hZDmpIu-ggt-8ILb-fEhuBkZhHUn1bnGaoFquhw1LLz2xaqUZcNLgT9/Z_62zsUhK9SGXc6eikfvaAmnzIV5SIhtHO2BXYpo5Bo),"Industrial stapler with 360° exhaust, jam-free system, supports 16–50 mm staples.",INR 10400.00,,14,Spark Pneumatics,,"Stapler, industrial heavy use","Industrial stapler used for heavy-duty packaging, upholstery, and furniture manufacturing.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342143/jyinpvpqqdjvenokrdke.jpg
Air Stapler 9025,9025,Stapler,0F2235C9-E144-4F02-BF26-768E83C40295.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/-NNh1QXtIqs7-wzcj4EpXg/txWoYd_4l-1pAWs2dIlDAQGtuMZ7tzKAmEropTqabtjWq4mI3XUM62f0h1owPG15AZi_ZxLwE1gB5hzL-Ca30BgBgdnky8JRWXI_NfExM0eLla0vNCTaNx2vTugC6QPXSJ79gr0wkRM53BuOPrTrBPa10Um5yqJftVAVJFXuZ4illLvbFwQ-y4cQBnKZU5Vj/hN1vGWGN13-ZQPLuDmtfNfZKoiIWVWaSj6PXc9zyTa0),Compatible with 22 GA staples (9–25 mm). Lightweight with rubber grip for upholstery.,INR 6000.00,,15,Spark Pneumatics,,"Stapler, upholstery","Commonly used in upholstery and light woodwork, especially for furniture repair and assembly.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342144/urkk1nqaskbhtxpbhh7f.jpg
Air Stapler 8016,Spark 80/16,Stapler,9CE26EF4-2D24-40C5-801E-446DE25A7561.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/Z2OSrxi25xYhRHHR-9ulsg/XZpucEAod_RFRN_B1FpO1w5JH3g37gB5lo4PkVa24jrRhSJUhife6RYkAd0zoCKm8kyd4AIQu3Rwrwl1jApgPJtc9q0OLCfLwG71gYihsg2dZoKRxn598rRirg9-XTLl4XKYzGHdI_GsjRnk9VMqt7eSxJ-an33C5KTaLjFMjIaEB4-unH1yUZdoH5k6e6qm/e-cTJKMR65dlI8bR9nuLGzz4TOuTmuIYgVKCJvS18lQ),"21-gauge air stapler for upholstery, 150-staple magazine, compact design.",INR 2800.00,,16,Spark Pneumatics,,"21-gauge stapler, upholstery","Compact stapler used in upholstery, interior finishing, and lightweight assembly jobs.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342145/t5gink83ex5dg8xlp2lz.jpg
Air Screwdriver,4460,Screwdriver,4392D178-7485-4153-8970-CDC027ECED73.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/r8LNzQy00P2vtQfQX8StjA/2gOIEoaPQWYJwUU990EuquN_eppOX4Tc05Ic-SozuzAnJsftm2Ia3orMhuJMfYDAyyGHKAJiRIvEWo7Ctw5pp4P1M57_SO-njmW5PzLi-ruqnHK5Vdotf-BfE1f-WHcVIuCMBnIcsWVaYYpsG2gfssRwsJD1_5G1vvCVJI68wjwDSQxBhEX5VI9AX3r9bRSQ/uUd6C9iN2ePmHsbGTvAcFvGjtnqYklOZtmWPXDE9K1k),"High-speed 1/4 screwdriver, 11000 RPM, compact/lightweight for precision fastening.",INR 2800.00,,17,Spark Pneumatics,,High-speed screwdriver,Designed for electronics assembly and fine mechanical fastening where high speed and precision are required.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342146/vdbkne30qayujfntc2dr.jpg
Air Die Grinder,812,Grinder,FFA91E1B-59E8-4A21-81EA-A42736220BE9.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/6NBeNCbhYqisZNmiO5SXiQ/Pr9B6V92R60UkHLADrNxKT-ch5YTJeUqQgF7RmdU1AXGsAt8gA4Xex1YPrpPAuJt89HJHA8IgwsZQqGADUYEW8f-rK95JdbAf4XBEcrMdm9AUcxP9bK7dWM7BTVmovP6ZSa4_g-gvPlGeLLOwK-u24gRBrf9E0H7NGR4zw0WhfZoFgPljQHtaX933R598Aqa/9sbnnMJaMT4wfFbeIaoJQWFVsWFNWh3Q07HnrXWOzdA),"22000 RPM die grinder for grinding and polishing, lightweight ergonomic body.",INR 1400.00,,18,Spark Pneumatics,,"Die grinder, polishing","Used in metal fabrication, polishing, and deburring where precision grinding is needed.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342147/rjp1b4lg123bn6gqhde8.jpg
Air Butterfly Impact Wrench,DB-I-30,Impact Wrench,db-i-30.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/eMBZKYZvzMjHHFsEkDvqCA/BbsBP01OGgojiH1NEkMcDR6Si0HOLBrTC2SlBHLTabLE48V5vmTRx3-eO2kN2II3XvbUQeYcyVQh38EMtfkNWLzUQsCIrXibP6-Vbstq7cvsDHv-W3-fPyp6QnVqfWtZSU5izAhFbrM5jsdK34pg9JEoRimgjwyNvI1mlUEPa7E/QmUx6PkHRDx_dngmPCDdChigrC3DBEp3pxSPOZS3WRk),"Square Drive: 3/8; Capacity (Bolt Size): 3/8 / M10; Free Speed: 10,000 RPM; Max Torque: 75 Ft-Lb / 102 Nm; Overall Length: 5.1 / 139mm; Air Inlet: 1/4; Air Hose (ID): 3/8; Avg. Air Consumption: 2.5 cfm / 71 L/min; Net Weight: 0.8 kgs / 1.75 lbs",INR 3775.00,25% off,20,Drebon,," One hammer, Impact wrench, torque tool, pneumatic tool","Used for tightening and loosening bolts and nuts in automotive, assembly, and maintenance applications.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342149/mp9n2xb5rgiupopvvmno.jpg
Air Butterfly Impact Wrench,DB-I-32,Impact Wrench,db.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/lvp1eizRy0fOsvY6cphkqA/HmYk4sK-qKo819nt_cpbdswJYSNhluiqRxn5B3hPIcRiP54JfcZDSJ-R-Z63nfyQlq6gFr-BIJ0BDIRzgf7ksfDkYu6xj7WcwEbxN2XzW9kcl5fHhzlI6EPR3J0jRf_la1IyFwzK5GXn5YnWMDLVb6CQZTq7BbsrzfjRHBpH_dE/tyu3EPgPPfeakHu3FqRoeW1nJE3bZPtip3eNz-0opQw),"Square Drive: 3/8, Capacity (Bolt Size): 9/16 / 11mm, Free Speed (RPM): 9,500, Max Torque: 175Ft-Lb / 102NM, Overall Length: 6.1/2 / 220mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 6Cfm, Net Weight: 1.03Kgs / 2.30Lbs, Mechanism: Rocking Dog Mechanism",INR 6135.00,25% off,20,Drebon,,"Air Impact Wrench, Butterfly Impact Wrench, Rocking Dog Mechanism","A compact and lightweight 3/8 air impact wrench with a rocking dog mechanism, delivering 102Nm torque at 9,500 RPM, perfect for light to medium-duty fastening tasks in automotive and workshop applications.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342149/rwybbxusfltv26buavwc.png
3/8 Impact Wrench,DB-I-350C,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/fVr0S6UIkaOwjTVbDUKXMg/2rQMDE8alxjfpZDreyn0Qs1H8o6bs01wnA62IA-uWC_PmWhP8C1yGeH9SKz07CGJkOXZHMZVjfVXHfdWSWfuztqHirODKrtHSJngRpI4Eyf_PIViGHVZ6MubNFdpWcvalrFekfQ2xZwyN6XX0yEq6tNispnWNWfD8LNFvPAAvXU/DQFR37-bocj6qhZDuS1YxNQ4y-LIDq6fpghaZ4k51xI),"Square Drive: 3/8, Capacity (Bolt Size): 1/2 / M12, Free Speed (RPM): 9,200, Max Torque: 384Ft-Lb/520NM, Overall Length: 5.1/2/139mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 2.5Cfm/71L/min, Net Weight: 1.60Kgs / 3.53Lbs",INR 5380.00,25% off,20,Drebon,,"Twin Hammer, Air Tool, Pneumatic Wrench, Fastener, Loosening, Tightening","Used for tightening and loosening nuts, bolts, and other fasteners with high torque.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342150/tquwd8vb0b8zphn30v7l.png
3/8 Twin Hammer Air Impact Wrench,DB-I-AT321,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/Huzo4DkAw71Wri6guTt_Dw/thXcf5Hi4DknhraJq-F0_mgW3aYugyY0DBho2rlU2riIpZk9R2Z6amA9d4LyXkCx8ZlphuThGyFtlf-oeRm2lnM7UWCfi1rFpn5d1E1tOuJLR2cYUUqtH8o7z3XjgO2r3F9UUMnWfjhL66dpwboCqkzbx2Lj8rnedqWbzzKCX-s/I3b_wc-mgnWXNl3cwvSZH0sWizVvsg2Wjn2jrvYSWTs),"Square Drive: 3/8, Capacity (Bolt Size): M12, Free Speed (RPM): 9,000, Max Torque: 340Ft-Lb / 470Nm, Overall Length: 144mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 90PSI, Net Weight: 1.70KGS",INR 5305.00,25% off,20,Drebon,,"Twin Hammer, Air Impact Wrench, 3/8 inch, Impact, Wrench, Pneumatic","This is a 3/8 Twin Hammer Air Impact Wrench, suitable for applications requiring strong torque up to 340Ft-Lb.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342151/qdm90tvkkiqyhjiokwhx.png
3/8 Industrial Air Impact Wrench,DB-I-AT360,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/sR78O__ZKgaieAiL8wv34A/qEb7b_UyHYU3-TCEbHwganvscG1ar4758XoeL_ovRFzG1Iq1c8gHNjTAPnRbmYeSn2M7_1FWBQG-U4TnzC-czKMU2PrriEmxgX3KNcbEEBGN778o8r9IHtteqYCPuoL3ub_mecpaCMdW3VPQ335Gl2CSiGfSpQhx2B0h_v_uQ-g/fx2hiUlVNZifbBz55Gt16irzFgSErfO0DVxMRu-HCrs),"Square Drive: 3/8, Capacity (Bolt Size): M14, Free Speed (RPM): 9,000, Max Torque: 380Ft-lb / 520Nm, Overall Length: 128mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 90PSI, Net Weight: 1.40KGS",INR 6857.00,25% off,20,Drebon,,"Industrial, Air, Impact Wrench, 3/8 inch, Pneumatic, High Torque",Designed for tightening and loosening bolts and nuts in industrial applications using compressed air.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342152/oxi842qot7nepiytuxra.png
3/8 inch Impact Wrench (Single Hammer),DB-I-35,Impact Wrench,db.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/fQiBU5YGU04jb5efvU0t4A/VHz8yLz-rzJMGrDg34JiK67IR5jBnxiQU4kUrmJpaLL_rgSMiqgxHC_BHurwYzA1ZSSyFnmBlBU0oui00_0KZ1JLxUihVjLVfQ9sxPcg3nx3zY5UGUyKaBRDDZf5xZDkHjx1Xf5dna9eb5BsxGCanMYctqSydFFfR6m1gf73xqI/CJ-_gKjeIcD3mROkoWS8KV35oYeJ9xq_IVt0atBmXqY),"Square Drive: 3/8 inch, Capacity (Bolt Size): 3/8 inch / M10, Free Speed (RPM): 10,000, Max Torque: 200Ft-Lb/183NM, Overall Length: 5.1/2 inch / 139mm, Air Inlet (Pt/Npt): 1/4 inch, Air Hose (ID): 3/8 inch, Avg. Air Consumption: 2.5Cfm/71L/min, Net Weight: 1.35Kgs / 2.97Lbs",INR 7655.00,25% off,20,Drebon,,"Impact Wrench, Single Hammer, Pneumatic Wrench, Air Wrench, Torque Wrench",A pneumatic impact wrench designed for tightening and loosening bolts with a maximum torque of 200Ft-Lb.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342153/tbauvktk1dhbllmjgo2q.png
3/8 inch Industrial Single Hammer Mechanism Impact Wrench,DB-OP-308I,Impact Wrench,db.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/payVl0U_UOuqI6t7YMaZtg/VWb1--8ec58-uH1KNwoGpPdPbwefAuuSUKMcE3yt-P62Px9nI5ln5XuC7YbtAQVJhQtKwilBZckNQl37bBGsYrOEQAReu03PCxJqjCtT1rW8Isy-8UBLmbhKDicZI7IAZjQ2nlGeMFHITNXov5vFHnWGoDxSFeneK0ycM0GdAxc/vtOLYiwkNweo_HlmJU7doPUx30CYE0FdPt4yZiCNhss),"Square Drive: 3/8 inch, Capacity (Bolt Size): M10, Free Speed (RPM): 8,100, Max Torque: 200Nm, Overall Length: 220mm, Air Inlet (Pt/Npt): 1/4 inch, Air Hose (ID): 1/4 inch, Avg. Air Consumption: 3Cfm / 113L/min, Net Weight: 1.32KGS",INR 10550.00,25% off,20,Drebon,,"Industrial Impact Wrench, Single Hammer, Air Wrench, Pneumatic Tool, High Torque, 3/8 inch drive, DB-OP-308I","This 3/8 inch industrial impact wrench features a single hammer mechanism, delivering up to 500Ft-Lb maximum torque for heavy-duty fastening and loosening applications. It operates at a free speed of 8,100 RPM and has a working maximum torque of 200Nm.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342154/w02acxfyomi7cjbhweyk.png
1/2 Impact Wrench (Twin Hammer),DB-I-1650,Impact Wrench,db.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/g09YoznVeyUjMI89U74OEw/xKVeE-s4LlHtVUFuVF2FCjI6yxYW2G4v14yxRRd1psa8Tc4MAuFKDW8_xzfbsbToSAOP0VmReeBEL7fSrMXouoppcuIaM0sG0EsygnqqIJ7L20KyIk7GXp33TtIhigL8-e0HPVzNRoKpCmWLR-ACKBKRsZLn6dxshT3Jktc-jqA/Zd24Bg1p_Rvz1cXimvEPrC-dot7KVYmXq8kT7qfz40w),"Square Drive: 1/2, Capacity (Bolt Size): 3/4 / M20, Free Speed (RPM): 8,500, Max Torque: 1143Ft-Lb/1550NM, Overall Length: 5.1/2/139mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 2.5Cfm/71L/min, Net Weight: 2.10Kgs / 4.63Lbs",INR 4320.00,25% off,20,Drebon,,"New Product, Twin Hammer, Impact Wrench","A lightweight yet powerful 1/2 air impact wrench delivering up to 1550Nm torque at 8,500 RPM, ideal for fast and efficient tightening or loosening of heavy bolts up to M20 in automotive and industrial usecase.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342155/jw8ffhsrjnq7jrwy5x1u.png
